ID,,White,Black/African American,Asian,Asian/Pacific Islander,Chinese,Japanese,Total,completion_month_year,phase,MTW Status,Published paper,Published result in clicnicaltrials,,,official_title,source,intervention_names,Age eligible for study,Study population,Is this an extension study
NCT00916149,2018,25,4,0,NA,NA,NA,30,NCT00916149,NA,MTW Status,0,y,MTW Status,,Cognitive Effects of Treatment of Interictal Discharges,Massachusetts General Hospital,levetiracetam | Lamotrigine,18-55,USA,n
NCT01439438,2017,20,2,NA,NA,NA,NA,28,11-Sep,Phase 1,Matching,0,y,Matching,,"Relative Bioavailability Study of Two Formulations of Topiramate 100 mg Coated Tablet in Healthy Male Volunteers, the Test Formulation Produced by Dr. Reddy's Laboratories Ltd. and the Reference Formulation (TopamaxÔÎ) Marked by Janssen-Cilag Farmacê_utica Ltda.A Relative Bioavailability Study of Two Formulations of Topiramate 100 mg Coated Tablet in Healthy Male Volunteers, the Test Formulation Produced by Dr. Reddy's Laboratories Ltd. and the Reference Formulation (TopamaxÔÎ) Marked by Janssen-Cilag Farmacê_utica Ltda.",GlaxoSmithKline,Topiramate coated tablet | TopamaxÔÎ coated tablet,18-50,Brazil,n
NCT00753493,Clark 2013,20,NA,NA,NA,NA,NA,20,10-Aug,Phase 1,Matching,1,n,Matching,,Phase I Pharmacokinetic and Safety Study of Intravenous Topiramate in Adult Patients,University of Minnesota - Clinical and Translational Science Institute,intravenous topiramate,18 years and older,USA,n
NCT00233012,Puri 2010,41,3,6,NA,NA,NA,50,7-Oct,Phase 1,Matching,2,n,Matching,,"A Randomized, Open-label (OL), Multicenter Study With OL Extension of the Pharmacokinetics and Safety of Topiramate Administered as Oral Liquid and Sprinkle Formulations as an Adjunct to Concurrent Anticonvulsant Therapy in Infants (Aged 1-24 Months, Inclusive) With Refractory Partial-onset Seizures","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Topiramate,1-24 months,"USA
Asia
Australia
Europe",n
NCT00144872,2017,34,15,NA,NA,NA,1,54,6-Apr,Phase 1,Matching,0,y,Matching,,Evaluation of Lamotrigine in Subjects With Absence Seizures,GlaxoSmithKline,Lamotrigine,up to 12 years,USA,n
NCT02332174,Xu 2015,NA,NA,NA,NA,40,NA,40,14-Jun,Phase 1,Matching,1,n,Matching,,Pharmacokinetics and Tolerability of Rufinamide Following Single and Multiple Oral Doses and Effect of Food on Pharmacokinetics in Healthy Chinese Subjects,"Wuhan Union Hospital, China",rufinamide,18-40,China,n
NCT01462669,2018,NA,NA,16,NA,NA,NA,16,12-Jun,Phase 1,Matching,0,y,Matching,,"An Open-label, Randomized, Single Centre, 4-way Crossover Study to Evaluate the Pharmacokinetics of Single Oral Doses of Ezogabine/Retigabine in Healthy Adult Taiwanese Subjects",GlaxoSmithKline,50mg Ezogabine/retigabine | 100mg Ezogabine/retigabine | 200mg Ezogabine/retigabine | 400mg Ezogabine/retigabine,20-65,Taiwan,n
NCT01118949,Wechsler 2017,40,8,NA,NA,NA,NA,49,11-Aug,Phase 2,Matching,1,y,Matching,,An Open-Label Pilot Study to Assess the Safety of Oral Lacosamide as Adjunctive Therapy for Uncontrolled Primary Generalized Tonic-Clonic Seizures in Subjects With Idiopathic Generalized Epilepsy,UCB Pharma,Lacosamide,16-65,USA,n
NCT00961441,2015,17,7,NA,NA,NA,NA,25,10-Mar,Phase 2,Matching,0,y,Matching,,"An Open-Label, Multicenter, Parallel-Group, Two-Arm Study Comparing the Pharmacokinetics of Keppra XR in Children (Aged 12 - 16 Years Old) With Epilepsy and in Adults (Aged 18 - 55 Years Old) With Epilepsy",UCB Pharma,Keppra XR,12_55,USA,n
NCT00938431,2019,30,7,2,NA,NA,NA,47,14-Aug,Phase 2,Matching,1,y,Matching,,"A Multicenter, Open-Label Study To Investigate The Safety, Tolerability, And Pharmacokinetics Of Lacosamide (LCM) Oral Solution (Syrup) As Adjunctive Therapy In Children With Partial-Onset Seizures",UCB Pharma,Lacosamide,1 month to 17 years,"USA
Belgium
Mexico",n
